,Questions,Intent,Sub-Entities,Main_Entities
440,How do you distinguish between billing state active and inactive?,information_Comparison,['billing state'],['option']
441,What is the difference between inactive and active billing states?,information_Comparison,['billing state'],['option']
442,How can I distinguish between billing state active and inactive?,information_Comparison,['billing state'],['option']
443,What is the difference between network connectivity enabled and disabled?,information_Comparison,['network connectivity'],['connection']
444,How can I differentiate between network connectivity enabled and disabled?,information_Comparison,['network connectivity'],['connection']
445,Is network connectivity enabled or disabled?,information_Comparison,['network connectivity'],['connection']
446,Can you differentiate between network connectivity enabled and disabled?,information_Comparison,['network connectivity'],['connection']
447,How do I differentiate between network connectivity enabled and disabled?,information_Comparison,['network connectivity'],['connection']
448,Why is network connectivity disabled?,information_Comparison,['network connectivity'],['connection']
449,Can we distinguish between network connectivity enabled and disabled?,information_Comparison,['network connectivity'],['connection']
450,What can I do in subscription inventory?,information_seek,['subscription'],['inventory']
451,How can I use search?,Learn,['search'],['widget']
452,Can you show me example keywords?,information_seek,['keywords'],['other']
453,How can I find subscriptions with no data for last 2 months?,Learn,"['subscription', ' months']","['inventory', ' time']"
454,What are the search rules?,information_seek,['search'],['widget']
455,How can I search with batch?,Learn,['search'],['widget']
456,What does batch mean?,information_seek,['batch'],['other']
457,Can I find subscriptions based on my notes?,Learn,['subscription'],['inventory']
458,Does search crieteria apply to all pages?,information_seek,['search'],['widget']
459,How are filters working?,information_seek,['filter'],['widget']
460,Can I save my filters?,information_seek,['filter'],['widget']
461,Can I manage my filters?,information_seek,['filter'],['widget']
462,Can I upload a filter from my laptop?,information_seek,['filter'],['widget']
463,What happens if I remove a filter?,information_seek,['filter'],['widget']
464,Do filters apply to all pages?,information_seek,['filter'],['widget']
465,Can I share my filterings?,information_seek,['filter'],['widget']
466,How can I change the owner of the subscriptions?,Learn,['subscription'],['inventory']
467,How can I change the state?,Learn,['state'],['option']
468,Can I reactivate terminated subscriptions?,information_seek,['subscription'],['inventory']
469,How can I change the subscription package?,Learn,['subscription'],['inventory']
470,What is target subscription package?,information_seek,['subscription'],['inventory']
471,What is a trigger?,information_seek,['trigger'],['page']
472,How can I create a business automation rule?,Learn,['rule'],['other']
473,How to change the region of my subscrtiptions?,Learn,['subscription'],['inventory']
474,How can I edit the labels?,Learn,['labels'],['other']
475,How can I edit IMEI?,Learn,['imei'],['identifier']
476,How can I see how the subscriptions are doing?,Learn,['subscription'],['inventory']
477,How can I know which subscriptions are behaving badly?,Learn,['subscription'],['inventory']
478,Can I see the any real-time data?,information_seek,['data'],['other']
479,How can I change fixed IP?,Learn,['fixed IP'],['other']
480,Can I change the fixed IP?,information_seek,['fixed IP'],['other']
481,What are subscription notes?,information_seek,['subscription'],['inventory']
482,Who can see my notes?,information_seek,['notes'],['other']
483,I need to troublelshoot. Can I reconnect my device?,Troubleshoot,['device'],['other']
484,What happens when reconnecting a device?,information_seek,['device'],['other']
485,What does it mean when reassigning MSISDN?,information_seek,['msisdn'],['identifier']
486,How can I reassign MSISDN?,Learn,['msisdn'],['identifier']
487,How can I export the filtered data into Excel?,Learn,['data'],['other']
488,Can I export the data from the table as I customized it to Excel?,information_seek,"['data', 'table']","['other', 'attribute']"
489,What is CSV?,information_seek,['CSV'],['other']
490,Can I save my filtering for next time?,information_seek,['filter'],['widget']
491,What is a batch file?,information_seek,['batch'],['other']
492,How many table rows can be exported into Excel?,Learn,['row'],['attribute']
493,How can I sort? (Lists),Learn,['sort'],['attribute']
494,Does sorting have impact on whole inventory?,information_seek,['sort'],['attribute']
495,How can I change the order of the columns? (lists),Learn,['column'],['attribute']
496,How can I make the colums that are relevant for me visible? (lists),Learn,['column'],['attribute']
497,How can I hide the columns I dont need? (lists),Learn,['column'],['attribute']
498,How can I import my own batch file from the laptop?,Learn,['batch'],['other']
499,How can I export the data table into Excel?,Learn,['table'],['attribute']
500,How can I search with a batch file?,Learn,['search'],['widget']
501,Does the table refresh automatically?,information_seek,['table'],['attribute']
502,How often will the table refresh?,information_seek,['table'],['attribute']
503,What if I make an action to selected subscriptions and some of their states have changed few seconds ago?,information_seek,"['subscription', 'state']","['inventory', 'option']"
